committer_contributor_id,git_log_id,committer_dt,file_name_id,file_name,add_count,del_count
33,6,2012-05-23 11:11:03,4,java/testing/org/apache/derbyTesting/functionTests/tests/store/KeepDisposableStatsPropertyTest.java,5,7
33,6,2012-05-23 11:11:03,5,java/testing/org/apache/derbyTesting/functionTests/tests/upgradeTests/helpers/DisposableIndexStatistics.java,12,3
33,6,2012-05-23 11:11:03,6,java/testing/org/apache/derbyTesting/junit/IndexStatsUtil.java,57,0
15,7,2012-05-23 10:04:32,7,java/testing/org/apache/derbyTesting/functionTests/tests/derbynet/Utf8CcsidManagerClientTest.java,2,7
15,7,2012-05-23 10:04:32,8,java/testing/org/apache/derbyTesting/junit/BaseJDBCTestCase.java,2,4
33,10,2012-05-22 21:14:36,4,java/testing/org/apache/derbyTesting/functionTests/tests/store/KeepDisposableStatsPropertyTest.java,1,1
33,10,2012-05-22 21:14:36,11,java/engine/org/apache/derby/iapi/reference/Property.java,3,3
33,10,2012-05-22 21:14:36,12,java/engine/org/apache/derby/impl/services/daemon/IndexStatisticsDaemonImpl.java,1,1
33,11,2012-05-22 21:02:14,12,java/engine/org/apache/derby/impl/services/daemon/IndexStatisticsDaemonImpl.java,0,3
33,12,2012-05-22 14:01:33,18,java/testing/org/apache/derbyTesting/functionTests/tests/store/AutomaticIndexStatisticsTest.java,77,14
33,12,2012-05-22 14:01:33,4,java/testing/org/apache/derbyTesting/functionTests/tests/store/KeepDisposableStatsPropertyTest.java,174,0
33,12,2012-05-22 14:01:33,19,java/testing/org/apache/derbyTesting/functionTests/tests/store/_Suite.java,1,0
33,12,2012-05-22 14:01:33,20,java/testing/org/apache/derbyTesting/functionTests/tests/upgradeTests/Changes10_9.java,100,1
33,12,2012-05-22 14:01:33,13,java/engine/org/apache/derby/iapi/sql/dictionary/TableDescriptor.java,29,10
33,12,2012-05-22 14:01:33,5,java/testing/org/apache/derbyTesting/functionTests/tests/upgradeTests/helpers/DisposableIndexStatistics.java,247,0
33,12,2012-05-22 14:01:33,6,java/testing/org/apache/derbyTesting/junit/IndexStatsUtil.java,1,1
33,12,2012-05-22 14:01:33,12,java/engine/org/apache/derby/impl/services/daemon/IndexStatisticsDaemonImpl.java,34,22
33,12,2012-05-22 14:01:33,14,java/engine/org/apache/derby/impl/sql/compile/FromBaseTable.java,34,3
33,12,2012-05-22 14:01:33,15,java/engine/org/apache/derby/impl/sql/execute/CreateIndexConstantAction.java,40,28
33,12,2012-05-22 14:01:33,16,java/testing/org/apache/derbyTesting/functionTests/tests/lang/SelectivityTest.java,0,2
33,12,2012-05-22 14:01:33,17,java/testing/org/apache/derbyTesting/functionTests/tests/lang/UpdateStatisticsTest.java,36,30
15,13,2012-05-22 08:36:16,21,java/engine/org/apache/derby/impl/jdbc/EmbedBlob.java,4,6
15,13,2012-05-22 08:36:16,22,java/engine/org/apache/derby/impl/jdbc/EmbedClob.java,2,6
15,13,2012-05-22 08:36:16,23,java/engine/org/apache/derby/impl/jdbc/TemporaryClob.java,1,1
27,14,2012-05-21 23:23:03,24,java/engine/org/apache/derby/impl/sql/compile/ResultColumn.java,0,2
31,15,2012-05-21 21:02:27,30,java/testing/org/apache/derbyTesting/functionTests/tests/lang/CollationTest.java,231,161
31,15,2012-05-21 21:02:27,25,java/engine/org/apache/derby/impl/sql/compile/FromList.java,13,8
31,15,2012-05-21 21:02:27,26,java/engine/org/apache/derby/impl/sql/compile/FromTable.java,10,0
31,15,2012-05-21 21:02:27,27,java/engine/org/apache/derby/impl/sql/compile/HalfOuterJoinNode.java,14,0
31,15,2012-05-21 21:02:27,28,java/engine/org/apache/derby/impl/sql/compile/JoinNode.java,14,0
31,15,2012-05-21 21:02:27,24,java/engine/org/apache/derby/impl/sql/compile/ResultColumn.java,144,2
31,15,2012-05-21 21:02:27,29,java/engine/org/apache/derby/impl/sql/compile/ResultColumnList.java,102,0
33,16,2012-05-21 14:56:51,31,java/testing/org/apache/derbyTesting/functionTests/tests/upgradeTests/BasicSetup.java,0,111
33,16,2012-05-21 14:56:51,20,java/testing/org/apache/derbyTesting/functionTests/tests/upgradeTests/Changes10_9.java,106,0
15,17,2012-05-21 14:30:24,32,java/drda/org/apache/derby/impl/drda/DRDAConnThread.java,22,8
15,17,2012-05-21 14:30:24,33,java/engine/org/apache/derby/iapi/services/io/CounterOutputStream.java,3,18
15,17,2012-05-21 14:30:24,34,java/engine/org/apache/derby/iapi/sql/ResultSet.java,7,0
